hole_id,from_m,to_m,length_m,au_gpt,data_source
SYN-001,0.0,54.0,54.0,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,54.0,55.5,1.5,3.046,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,55.5,61.5,6.0,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,61.5,66.0,4.5,3.905,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,66.0,96.0,30.0,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,96.0,99.0,3.0,5.006,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,99.0,208.97,109.97,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,0.0,45.0,45.0,0.026,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,45.0,46.5,1.5,2.677,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,46.5,105.0,58.5,0.03,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,105.0,108.0,3.0,5.738,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,108.0,165.0,57.0,0.029,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,165.0,169.5,4.5,3.201,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,169.5,187.5,18.0,0.029,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,187.5,195.0,7.5,2.886,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,195.0,226.5,31.5,0.028,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,226.5,231.0,4.5,2.623,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,231.0,249.0,18.0,0.03,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,249.0,255.0,6.0,1.89,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,255.0,275.15,20.15,0.035,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,0.0,43.5,43.5,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,43.5,46.5,3.0,2.329,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,46.5,52.5,6.0,0.036,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,52.5,55.5,3.0,3.238,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,55.5,320.61,265.11,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,0.0,93.0,93.0,0.03,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,93.0,94.5,1.5,6.936,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,94.5,100.5,6.0,0.037,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,100.5,105.0,4.5,5.929,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,105.0,322.44,217.44,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,0.0,127.5,127.5,0.03,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,127.5,129.0,1.5,0.879,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,129.0,322.42,193.42,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,0.0,31.5,31.5,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,31.5,34.5,3.0,1.628,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,34.5,126.0,91.5,0.031,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,126.0,132.0,6.0,4.262,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,132.0,279.74,147.74,0.035,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,0.0,39.0,39.0,0.037,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,39.0,43.5,4.5,1.348,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,43.5,48.0,4.5,0.024,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,48.0,54.0,6.0,1.814,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,54.0,226.9,172.9,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,0.0,82.5,82.5,0.035,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,82.5,85.5,3.0,1.578,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,85.5,90.0,4.5,0.027,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,90.0,96.0,6.0,1.714,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,96.0,172.18,76.18,0.029,SYNTHETIC_FABRICATED_NOT_REAL
SYN-009,0.0,16.5,16.5,0.027,SYNTHETIC_FABRICATED_NOT_REAL
SYN-009,16.5,18.0,1.5,4.696,SYNTHETIC_FABRICATED_NOT_REAL
SYN-009,18.0,55.5,37.5,0.029,SYNTHETIC_FABRICATED_NOT_REAL
SYN-009,55.5,58.5,3.0,3.813,SYNTHETIC_FABRICATED_NOT_REAL
SYN-009,58.5,238.02,179.52,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-010,0.0,40.5,40.5,0.038,SYNTHETIC_FABRICATED_NOT_REAL
SYN-010,40.5,42.0,1.5,1.162,SYNTHETIC_FABRICATED_NOT_REAL
SYN-010,42.0,48.0,6.0,0.035,SYNTHETIC_FABRICATED_NOT_REAL
SYN-010,48.0,52.5,4.5,2.872,SYNTHETIC_FABRICATED_NOT_REAL
SYN-010,52.5,253.5,201.0,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-010,253.5,255.0,1.5,7.944,SYNTHETIC_FABRICATED_NOT_REAL
SYN-010,255.0,261.0,6.0,0.024,SYNTHETIC_FABRICATED_NOT_REAL
SYN-010,261.0,262.5,1.5,7.709,SYNTHETIC_FABRICATED_NOT_REAL
SYN-010,262.5,263.98,1.48,0.044,SYNTHETIC_FABRICATED_NOT_REAL
SYN-011,0.0,69.0,69.0,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-011,69.0,73.5,4.5,2.12,SYNTHETIC_FABRICATED_NOT_REAL
SYN-011,73.5,100.5,27.0,0.031,SYNTHETIC_FABRICATED_NOT_REAL
SYN-011,100.5,105.0,4.5,1.807,SYNTHETIC_FABRICATED_NOT_REAL
SYN-011,105.0,317.2,212.2,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-012,0.0,304.55,304.55,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-013,0.0,148.5,148.5,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-013,148.5,150.0,1.5,2.33,SYNTHETIC_FABRICATED_NOT_REAL
SYN-013,150.0,172.5,22.5,0.03,SYNTHETIC_FABRICATED_NOT_REAL
SYN-013,172.5,174.0,1.5,2.926,SYNTHETIC_FABRICATED_NOT_REAL
SYN-013,174.0,219.0,45.0,0.036,SYNTHETIC_FABRICATED_NOT_REAL
SYN-013,219.0,220.5,1.5,2.48,SYNTHETIC_FABRICATED_NOT_REAL
SYN-013,220.5,225.0,4.5,0.03,SYNTHETIC_FABRICATED_NOT_REAL
SYN-013,225.0,228.0,3.0,2.224,SYNTHETIC_FABRICATED_NOT_REAL
SYN-013,228.0,296.14,68.14,0.033,SYNTHETIC_FABRICATED_NOT_REAL
SYN-014,0.0,301.76,301.76,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-015,0.0,58.5,58.5,0.029,SYNTHETIC_FABRICATED_NOT_REAL
SYN-015,58.5,64.5,6.0,1.191,SYNTHETIC_FABRICATED_NOT_REAL
SYN-015,64.5,91.5,27.0,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-015,91.5,94.5,3.0,0.706,SYNTHETIC_FABRICATED_NOT_REAL
SYN-015,94.5,281.66,187.16,0.035,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,0.0,31.5,31.5,0.04,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,31.5,33.0,1.5,1.528,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,33.0,46.5,13.5,0.029,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,46.5,48.0,1.5,2.028,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,48.0,79.5,31.5,0.029,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,79.5,87.0,7.5,2.3,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,87.0,130.5,43.5,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,130.5,135.0,4.5,1.587,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,135.0,156.0,21.0,0.036,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,156.0,162.0,6.0,2.142,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,162.0,207.0,45.0,0.03,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,207.0,213.0,6.0,1.804,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,213.0,281.13,68.13,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-017,0.0,43.5,43.5,0.032,SYNTHETIC_FABRICATED_NOT_REAL
SYN-017,43.5,51.0,7.5,1.52,SYNTHETIC_FABRICATED_NOT_REAL
SYN-017,51.0,84.0,33.0,0.035,SYNTHETIC_FABRICATED_NOT_REAL
SYN-017,84.0,90.0,6.0,0.983,SYNTHETIC_FABRICATED_NOT_REAL
SYN-017,90.0,115.5,25.5,0.028,SYNTHETIC_FABRICATED_NOT_REAL
SYN-017,115.5,117.0,1.5,1.327,SYNTHETIC_FABRICATED_NOT_REAL
SYN-017,117.0,305.32,188.32,0.034,SYNTHETIC_FABRICATED_NOT_REAL
SYN-018,0.0,51.0,51.0,0.036,SYNTHETIC_FABRICATED_NOT_REAL
SYN-018,51.0,55.5,4.5,2.074,SYNTHETIC_FABRICATED_NOT_REAL
SYN-018,55.5,73.5,18.0,0.037,SYNTHETIC_FABRICATED_NOT_REAL
SYN-018,73.5,79.5,6.0,1.571,SYNTHETIC_FABRICATED_NOT_REAL
