hole_id,easting,northing,elevation,total_depth_m,azimuth,dip,data_source
SYN-001,269720.0,5832550.0,825.0,209.0,48.8,-59.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,269800.0,5832870.0,765.0,275.1,215.1,-54.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,269500.0,5833200.0,875.0,320.6,224.2,-55.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,269660.0,5832750.0,795.0,322.4,214.6,-68.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,269540.0,5833250.0,875.0,322.4,57.4,-66.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,269820.0,5833620.0,875.0,279.7,236.8,-55.3,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,269960.0,5833310.0,875.0,226.9,240.9,-62.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,269940.0,5832770.0,845.0,172.2,30.5,-67.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-009,270520.0,5833490.0,805.0,238.0,29.7,-54.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-010,269740.0,5832860.0,915.0,264.0,237.5,-63.6,SYNTHETIC_FABRICATED_NOT_REAL
SYN-011,270260.0,5833290.0,865.0,317.2,216.8,-68.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-012,269320.0,5833120.0,845.0,304.6,237.6,-69.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-013,269640.0,5833170.0,1005.0,296.1,59.9,-64.3,SYNTHETIC_FABRICATED_NOT_REAL
SYN-014,270400.0,5832840.0,855.0,301.8,238.1,-70.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-015,270640.0,5832930.0,795.0,281.7,39.1,-65.1,SYNTHETIC_FABRICATED_NOT_REAL
SYN-016,269720.0,5833210.0,865.0,281.1,232.0,-51.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-017,269540.0,5832380.0,855.0,305.3,226.8,-49.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-018,269280.0,5832720.0,995.0,225.7,216.8,-59.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-019,270480.0,5833000.0,815.0,171.8,36.2,-68.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-020,269840.0,5833150.0,975.0,292.8,29.3,-59.6,SYNTHETIC_FABRICATED_NOT_REAL
SYN-021,270600.0,5833310.0,945.0,292.3,45.7,-68.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-022,269660.0,5832820.0,745.0,208.7,209.3,-65.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-023,270320.0,5832740.0,845.0,217.9,238.7,-63.6,SYNTHETIC_FABRICATED_NOT_REAL
SYN-024,270380.0,5832570.0,775.0,244.0,242.1,-54.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-025,269740.0,5833290.0,545.0,198.8,208.5,-55.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-026,269640.0,5833060.0,955.0,325.5,45.6,-71.3,SYNTHETIC_FABRICATED_NOT_REAL
SYN-027,270540.0,5833130.0,825.0,235.6,38.0,-71.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-028,269840.0,5833570.0,755.0,181.7,211.8,-68.6,SYNTHETIC_FABRICATED_NOT_REAL
SYN-029,269460.0,5833060.0,745.0,191.0,49.3,-63.3,SYNTHETIC_FABRICATED_NOT_REAL
SYN-030,270240.0,5833210.0,735.0,314.5,227.1,-64.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-031,270140.0,5833220.0,935.0,264.7,230.3,-57.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-032,270440.0,5833090.0,945.0,184.7,37.1,-62.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-033,270420.0,5833020.0,775.0,220.9,40.9,-68.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-034,269600.0,5833350.0,905.0,314.6,207.2,-71.0,SYNTHETIC_FABRICATED_NOT_REAL
SYN-035,270540.0,5833300.0,885.0,335.4,29.5,-68.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-036,270400.0,5832650.0,875.0,207.0,43.9,-71.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-037,269400.0,5833170.0,775.0,141.7,221.3,-67.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-038,269400.0,5832890.0,1035.0,179.1,216.8,-71.3,SYNTHETIC_FABRICATED_NOT_REAL
SYN-039,270340.0,5832780.0,855.0,282.5,35.3,-51.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-040,269820.0,5833020.0,865.0,228.8,61.7,-53.3,SYNTHETIC_FABRICATED_NOT_REAL
