hole_id,depth_m,azimuth,dip,data_source
SYN-001,0.0,48.8,-59.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,30.0,48.8,-59.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,60.0,48.8,-59.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,90.0,49.8,-59.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,120.0,49.7,-60.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,150.0,47.5,-60.1,SYNTHETIC_FABRICATED_NOT_REAL
SYN-001,180.0,47.3,-58.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,0.0,215.1,-54.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,30.0,214.9,-54.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,60.0,215.2,-54.1,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,90.0,216.0,-54.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,120.0,216.2,-54.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,150.0,215.1,-53.6,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,180.0,214.3,-54.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,210.0,215.4,-53.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,240.0,214.3,-53.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-002,270.0,216.3,-55.0,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,0.0,224.2,-55.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,30.0,224.1,-55.3,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,60.0,224.0,-55.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,90.0,225.0,-56.0,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,120.0,225.1,-54.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,150.0,224.7,-55.1,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,180.0,222.7,-54.6,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,210.0,221.9,-55.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,240.0,221.3,-56.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,270.0,222.4,-54.0,SYNTHETIC_FABRICATED_NOT_REAL
SYN-003,300.0,223.1,-54.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,0.0,214.6,-68.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,30.0,214.8,-68.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,60.0,214.4,-69.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,90.0,214.1,-69.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,120.0,215.5,-69.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,150.0,216.3,-69.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,180.0,216.4,-67.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,210.0,214.9,-68.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,240.0,213.5,-67.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,270.0,217.6,-67.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-004,300.0,215.9,-68.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,0.0,57.4,-66.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,30.0,57.4,-66.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,60.0,57.8,-66.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,90.0,56.7,-66.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,120.0,57.9,-66.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,150.0,56.5,-66.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,180.0,56.7,-65.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,210.0,59.9,-65.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,240.0,59.2,-66.6,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,270.0,56.3,-66.3,SYNTHETIC_FABRICATED_NOT_REAL
SYN-005,300.0,55.2,-68.0,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,0.0,236.8,-55.3,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,30.0,236.5,-55.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,60.0,237.1,-55.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,90.0,236.7,-54.9,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,120.0,235.8,-55.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,150.0,238.0,-55.0,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,180.0,236.4,-55.3,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,210.0,234.7,-54.6,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,240.0,236.3,-54.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-006,270.0,237.0,-54.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,0.0,240.9,-62.8,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,30.0,240.9,-62.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,60.0,241.0,-63.1,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,90.0,240.0,-63.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,120.0,241.6,-62.5,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,150.0,242.5,-62.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,180.0,241.1,-63.4,SYNTHETIC_FABRICATED_NOT_REAL
SYN-007,210.0,239.4,-62.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,0.0,30.5,-67.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,30.0,30.4,-67.2,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,60.0,30.5,-67.0,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,90.0,30.8,-67.1,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,120.0,29.2,-67.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-008,150.0,30.3,-66.7,SYNTHETIC_FABRICATED_NOT_REAL
SYN-009,0.0,29.7,-54.7,SYNTHETIC_FABRICATED_NOT_REAL
